,player,Year,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
dawkijo01DET,Johnny Dawkins,1995,PG,31,DET,50,1170,12.2,.552,.270,.204,2.8,8.6,5.7,26.2,2.3,0.1,22.6,14.6,,0.8,0.3,1.1,.046,,-1.0,-1.0,-1.9,0.0
dawsoto01BOS,Tony Dawson,1995,SF,27,BOS,2,13,5.9,.474,.375,.125,0.0,27.0,13.3,13.5,0.0,0.0,19.2,34.8,,0.0,0.0,0.0,-0.099,,-11.7,-3.9,-15.6,0.0
dayto01MIL,Todd Day,1995,SG,25,MIL,82,2717,14.4,.546,.398,.325,4.1,10.4,7.1,8.3,2.0,1.7,11.6,22.1,,2.9,1.9,4.8,.085,,0.4,-0.5,-0.1,1.3
deherte01LAC,Terry Dehere,1995,PG,23,LAC,80,1774,11.8,.513,.238,.426,2.2,8.3,5.0,20.7,1.3,0.3,16.2,23.8,,0.0,0.4,0.5,.013,,-1.9,-2.1,-4.0,-0.9
delnevi01SAS,Vinny Del Negro,1995,SG,28,SAS,75,2360,13.8,.560,.211,.211,1.4,7.5,4.6,14.6,1.3,0.4,6.3,16.7,,4.6,2.2,6.8,.138,,0.2,0.5,0.7,1.6
delebi01DEN,Bison Dele,1995,C,25,DEN,63,1261,13.9,.616,.000,.486,9.6,18.5,14.2,6.8,1.6,2.5,22.0,18.5,,0.8,1.5,2.3,.089,,-2.5,0.4,-2.1,0.0
divacvl01LAL,Vlade Divac*,1995,C,26,LAL,80,2807,20.5,.568,.055,.399,10.3,22.4,16.3,18.0,2.0,4.3,15.4,20.4,,5.3,4.2,9.5,.162,,1.9,2.1,3.9,4.1
donalja01UTA,James Donaldson,1995,C,37,UTA,43,613,7.9,.628,.000,.419,4.1,17.1,10.9,3.1,0.5,3.7,20.1,8.1,,0.3,0.7,1.0,.080,,-2.4,0.9,-1.5,0.1
douglsh01BOS,Sherman Douglas,1995,PG,28,BOS,65,2048,17.0,.530,.107,.385,2.7,7.0,4.8,34.9,2.0,0.1,15.3,22.4,,3.2,1.0,4.2,.099,,2.2,-1.1,1.2,1.7
dreilgr01CLE,Greg Dreiling,1995,C,32,CLE,58,483,7.8,.458,.000,.402,8.0,22.4,15.0,7.5,0.7,3.6,17.2,14.4,,-0.2,0.8,0.6,.059,,-7.5,1.4,-6.0,-0.5
drexlcl01TOT,Clyde Drexler*,1995,SG,32,TOT,76,2728,22.4,.577,.330,.357,6.3,13.7,10.0,22.1,2.5,1.2,11.5,25.7,,8.0,3.7,11.7,.206,,5.3,1.2,6.5,5.9
drexlcl01POR,Clyde Drexler*,1995,SG,32,POR,41,1428,22.7,.550,.337,.348,6.4,12.4,9.3,24.2,2.7,1.2,10.6,27.2,,4.4,2.1,6.5,.217,,6.0,1.8,7.9,3.6
drexlcl01HOU,Clyde Drexler*,1995,SG,32,HOU,35,1300,22.1,.613,.319,.369,6.3,15.0,10.9,19.9,2.4,1.2,12.7,24.2,,3.6,1.7,5.2,.193,,4.5,0.5,5.0,2.3
duckwke01WSB,Kevin Duckworth,1995,C,30,WSB,40,818,9.9,.475,.037,.262,8.9,19.0,13.7,3.7,1.3,2.1,16.5,19.1,,-0.7,0.7,0.0,-0.002,,-4.4,-1.0,-5.4,-0.7
dudlech02POR,Chris Dudley,1995,C,29,POR,82,2245,10.9,.424,.002,.410,15.6,23.2,19.2,2.1,1.0,4.2,13.3,11.4,,0.4,3.7,4.1,.087,,-3.0,0.1,-3.0,-0.6
